time,id,etof,hectares
2021-06-07,1,0.351,2504.739
2021-06-08,1,0.357,2504.739
2021-06-09,1,0.315,2504.739
2021-06-10,1,0.311,2504.739
2021-06-11,1,0.311,2504.739
2021-06-12,1,0.311,2504.739
2021-06-13,1,0.311,2504.739
2021-06-14,1,0.311,2504.739
2021-06-15,1,0.311,2504.739
2021-06-16,1,0.287,2504.739
2021-06-17,1,0.351,2504.739
2021-06-18,1,0.355,2504.739
2021-06-19,1,0.355,2504.739
2021-06-20,1,0.355,2504.739
2021-06-21,1,0.355,2504.739
2021-06-22,1,0.355,2504.739
2021-06-23,1,0.355,2504.739
2021-06-24,1,0.361,2504.739
2021-06-25,1,0.32,2504.739
2021-06-26,1,0.336,2504.739
2021-06-27,1,0.336,2504.739
2021-06-28,1,0.336,2504.739
2021-06-29,1,0.336,2504.739
2021-06-30,1,0.336,2504.739
2021-07-01,1,0.336,2504.739
2021-07-02,1,0.336,2504.739
2021-07-03,1,0.34,2504.739
2021-07-04,1,0.339,2504.739
2021-07-05,1,0.339,2504.739
