time,id,etof,hectares
2021-05-17,1,0.349,1384.061
2021-05-18,1,0.359,1384.061
2021-05-19,1,0.36,1384.061
2021-05-20,1,0.36,1384.061
2021-05-21,1,0.36,1384.061
2021-05-22,1,0.36,1384.061
2021-05-23,1,0.36,1384.061
2021-05-24,1,0.36,1384.061
2021-05-25,1,0.386,1384.061
2021-05-26,1,0.356,1384.061
2021-05-27,1,0.356,1384.061
2021-05-28,1,0.356,1384.061
2021-05-29,1,0.356,1384.061
2021-05-30,1,0.356,1384.061
2021-05-31,1,0.356,1384.061
2021-06-01,1,0.356,1384.061
2021-06-02,1,0.356,1384.061
2021-06-03,1,0.356,1384.061
2021-06-04,1,0.356,1384.061
2021-06-05,1,0.356,1384.061
2021-06-06,1,0.356,1384.061
2021-06-07,1,0.356,1384.061
2021-06-08,1,0.356,1384.061
2021-06-09,1,0.356,1384.061
2021-06-10,1,0.328,1384.061
2021-06-11,1,0.272,1384.061
2021-06-12,1,0.358,1384.061
2021-06-13,1,0.358,1384.061
2021-06-14,1,0.358,1384.061
